Authors;Article Title;DOI
"Yang, NN; Ha-Brookshire, JE";Truly sustainable or not? An exploratory assessment of sustainability capability of textile and apparel corporations in China from the moral responsibility perspective;10.1186/s40691-019-0172-6
"Hileman, J; Kallstenius, I; Hayha, T; Palm, C; Cornell, S";Keystone actors do not act alone: A business ecosystem perspective on sustainability in the global clothing industry;10.1371/journal.pone.0241453
"Carlson, LA; Bitsch, V";Social sustainability in the ready-made-garment sector in Bangladesh: an institutional approach to supply chains;10.22434/IFAMR2017.0114
"Al Sawaf, MB; Karaca, F";Different stakeholders' opinions toward the sustainability of common textile wastewater treatment technologies in Turkey: A Case study Istanbul province;10.1016/j.scs.2018.06.027
"Jia, F; Yin, SY; Chen, LJ; Chen, XW";The circular economy in the textile and apparel industry: A systematic literature review;10.1016/j.jclepro.2020.120728
"Netto, AL; Salomon, VAP; Ortiz-Barrios, MA; Florek-Paszkowska, AK; Petrillo, A; De Oliveira, OJ";Multiple criteria assessment of sustainability programs in the textile industry;10.1111/itor.12871
"Agarwal, S; Singh, AP";Performance evaluation of textile wastewater treatment techniques using sustainability index: An integrated fuzzy approach of assessment;10.1016/j.jclepro.2022.130384
"Wang, CN; Nguyen, HK; Liao, RY";Partner Selection in Supply Chain of Vietnam's Textile and Apparel Industry: The Application of a Hybrid DEA and GM (1,1) Approach;10.1155/2017/7826840
"Ma, K; Thomassey, S; Zeng, XY; Wang, LC; Chen, Y";A resource sharing solution optimized by simulation-based heuristic for garment manufacturing;10.1007/s00170-018-2677-3
"Rahman, O; Fung, BCM; Chen, Z";Young Chinese Consumers' Choice between Product-Related and Sustainable Cues-The Effects of Gender Differences and Consumer Innovativeness;10.3390/su12093818
"Liu, ZC; Li, Y; Wang, YY";Discover the Digital Technology Application in Fashion Business Models;
"Chen, Y; Li, ZQ";Design and Application of Wool Felt Craft in New Chinese Style Fashion;
"Talay, C; Oxborrow, L; Goworek, H";The impact of asymmetric supply chain relationships on sustainable product development in the fashion and textiles industry;10.1016/j.jbusres.2022.07.034
"Ma, K; Thomassey, S; Zeng, XY";A collaborative platform with negotiation mechanism for make-to-order textile supply chain: A study based on multi-agent simulation;
"Claxton, S; Cooper, T; Goworek, H; Hill, H; McLaren, A; Oxborrow, L";Pilling in knitwear: a clothing longevity problem beyond design;10.3233/978-1-61499-820-4-89
"Cao, HT; Cobb, K; Yatvitskiy, M; Wolfe, M; Shen, HQ";Textile and Product Development from End-of-Use Cotton Apparel: A Study to Reclaim Value from Waste;10.3390/su14148553
"Santos, E; Castanho, RA";The Impact of Size on the Performance of Transnational Corporations Operating in the Textile Industry in Portugal during the COVID-19 Pandemic;10.3390/su14020717
"Choi, TM; Yeung, WK; Cheng, TCE; Yue, XH";Optimal Scheduling, Coordination, and the Value of RFID Technology in Garment Manufacturing Supply Chains;10.1109/TEM.2017.2739799
"Su, J; Watchravesringkan, K; Zhou, JH; Gil, M";Sustainable clothing: perspectives from US and Chinese young Millennials;10.1108/IJRDM-09-2017-0184
"Mellick, Z; Payne, A; Buys, L";From Fibre to Fashion: Understanding the Value of Sustainability in Global Cotton Textile and Apparel Value Chains;10.3390/su132212681
"Jenkins, J; Blyton, P";In debt to the time-bank: the manipulation of working time in Indian garment factories and working dead horse';10.1177/0950017016664679
